"filename", "language", "C#", "comment", "blank", "total"
"/home/kayla/Documents/GitHub/ThermalSimulation/Game1.cs", "C#", 0, 1, 0, 1
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/Label.cs", "C#", 2, 0, 2, 4
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/RadioButtons.cs", "C#", 1, 0, 0, 1
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/UpDownButton.cs", "C#", -1, 0, 0, -1
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/Particles/Particle.cs", "C#", -4, -1, -1, -6
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/SliderButton.cs", "C#", -2, 0, -1, -3
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/Handler.cs", "C#", -2, 0, -1, -3
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/SimulationHandler.cs", "C#", 5, 2, 2, 9
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/PhysicsLaws/Physics.cs", "C#", 0, 21, -1, 20
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Structs.cs", "C#", 1, 0, 0, 1
"Total", "-", 0, 23, 0, 23